"DATA/4474/","H4474_0000_P12.IMG","H4474_0000_P22.IMG",-88.53387,  3.65225,-90,5
"DATA/6794/","H6794_0000_P12.IMG","H6794_0000_P22.IMG",-88.04117, 42.32237,-90,40
"DATA/4621/","H4621_0000_P12.IMG","H4621_0000_P22.IMG",-89.75912, 49.15377,-90,50
"DATA/6844/","H6844_0000_P12.IMG","H6844_0000_P22.IMG",-89.63957, 49.85981,-90,50
"DATA/4527/","H4527_0000_P12.IMG","H4527_0000_P22.IMG",-88.42167,180.72879,-90,180
"DATA/4706/","H4706_0000_P12.IMG","H4706_0000_P22.IMG",-89.63305,219.69691,-90,220
"DATA/4483/","H4483_0000_P12.IMG","H4483_0000_P22.IMG",-89.05328,228.99740,-90,230
"DATA/4526/","H4526_0000_P12.IMG","H4526_0000_P22.IMG",-88.66231,245.21303,-90,245
"DATA/2189/","H2189_0000_P12.IMG","H2189_0000_P22.IMG",-87.78254,276.82953,-90,275
"DATA/6959/","H6959_0000_P12.IMG","H6959_0000_P22.IMG",-88.64538,343.73213,-90,345
"DATA/4481/","H4481_0000_P12.IMG","H4481_0000_P22.IMG",-89.45248,349.96254,-90,350
"DATA/4584/","H4584_0000_P12.IMG","H4584_0000_P22.IMG",-83.88808, 10.21259,-85,10
"DATA/2364/","H2364_0000_P12.IMG","H2364_0000_P22.IMG",-85.63186, 13.97498,-85,15
"DATA/6915/","H6915_0000_P12.IMG","H6915_0000_P22.IMG",-83.89084, 17.55802,-85,20
"DATA/6819/","H6819_0000_P12.IMG","H6819_0000_P22.IMG",-86.77667, 31.98673,-85,30
"DATA/6841/","H6841_0000_P12.IMG","H6841_0000_P22.IMG",-83.99628, 34.68746,-85,35
"DATA/6873/","H6873_0000_P12.IMG","H6873_0000_P22.IMG",-83.73364, 33.29893,-85,35
"DATA/2338/","H2338_0000_P12.IMG","H2338_0000_P22.IMG",-83.65199, 46.63336,-85,45
"DATA/4547/","H4547_0000_P12.IMG","H4547_0000_P22.IMG",-85.02755, 45.87840,-85,45
"DATA/6823/","H6823_0000_P12.IMG","H6823_0000_P22.IMG",-83.73191, 51.34725,-85,50
"DATA/4978/","H4978_0001_P12.IMG","H4978_0001_P22.IMG",-84.01096, 53.37826,-85,55
"DATA/6676/","H6676_0000_P12.IMG","H6676_0000_P22.IMG",-86.77145, 53.18687,-85,55
"DATA/2587/","H2587_0000_P12.IMG","H2587_0000_P22.IMG",-84.28567, 60.60472,-85,60
"DATA/4525/","H4525_0000_P12.IMG","H4525_0000_P22.IMG",-83.57952, 61.42956,-85,60
"DATA/4532/","H4532_0000_P12.IMG","H4532_0000_P22.IMG",-82.77625, 75.97265,-85,75
"DATA/4521/","H4521_0000_P12.IMG","H4521_0000_P22.IMG",-83.28190, 81.84700,-85,80
"DATA/2594/","H2594_0000_P12.IMG","H2594_0000_P22.IMG",-84.51678, 94.07418,-85,95
"DATA/6868/","H6868_0000_P12.IMG","H6868_0000_P22.IMG",-86.18180,102.25491,-85,100
"DATA/6925/","H6925_0000_P12.IMG","H6925_0000_P22.IMG",-86.44732,101.12273,-85,100
"DATA/4981/","H4981_0001_P12.IMG","H4981_0001_P22.IMG",-82.63400,111.69890,-85,110
"DATA/2286/","H2286_0000_P12.IMG","H2286_0000_P22.IMG",-84.83904,116.08430,-85,115
"DATA/4572/","H4572_0000_P12.IMG","H4572_0000_P22.IMG",-82.73146,115.22919,-85,115
"DATA/2623/","H2623_0000_P12.IMG","H2623_0000_P22.IMG",-83.29100,127.23000,-85,125
"DATA/2590/","H2590_0000_P12.IMG","H2590_0000_P22.IMG",-83.35156,131.27045,-85,130
"DATA/4458/","H4458_0000_P12.IMG","H4458_0000_P22.IMG",-84.85024,127.93102,-85,130
"DATA/4556/","H4556_0000_P12.IMG","H4556_0000_P22.IMG",-85.13968,132.93004,-85,135
"DATA/4447/","H4447_0009_P12.IMG","H4447_0009_P22.IMG",-85.66306,150.54231,-85,150
"DATA/2183/","H2183_0000_P12.IMG","H2183_0000_P22.IMG",-83.51135,156.59658,-85,155
"DATA/6879/","H6879_0000_P12.IMG","H6879_0000_P22.IMG",-83.28314,166.56658,-85,165
